"filename", "language", "JavaScript", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\NumberOfActiveStudents.js", "JavaScript", 85, 0, 0, 11, 6, 102
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\NumberOfActiveStudentsInPeriod.js", "JavaScript", 99, 0, 0, 11, 6, 116
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\NumberOfPointsByDifficultyInPeriod.js", "JavaScript", 105, 0, 0, 0, 8, 113
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\QuizzesByDifficulty.js", "JavaScript", 101, 0, 0, 0, 8, 109
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\QuizzesByDifficultyInPeriod.js", "JavaScript", 112, 0, 0, 0, 8, 120
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\SelfAnswersByDifficulty.js", "JavaScript", 102, 0, 0, 0, 8, 110
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\SelfNumberOfQuizzes.js", "JavaScript", 76, 0, 0, 0, 6, 82
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\SelfNumberOfQuizzesByDifficulty.js", "JavaScript", 81, 0, 0, 0, 7, 88
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\SelfPointsByDifficultyInPeriod.js", "JavaScript", 89, 0, 0, 0, 7, 96
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\SelfPointsInPeriod.js", "JavaScript", 83, 0, 0, 0, 6, 89
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\SelfStudentReport.js", "JavaScript", 98, 0, 0, 1, 8, 107
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\TopBooksInPeriod.js", "JavaScript", 97, 0, 0, 0, 8, 105
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\TopSchoolsInPeriod.js", "JavaScript", 92, 0, 0, 0, 8, 100
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\components\TopUsersInPeriod.js", "JavaScript", 94, 0, 0, 0, 8, 102
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\screens\LocalAdminDashboard.js", "JavaScript", 39, 0, 0, 0, 2, 41
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\screens\StudentDashboard.js", "JavaScript", 40, 0, 0, 0, 2, 42
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\DashBoard\screens\SuperAdminDashboard.js", "JavaScript", 74, 0, 0, 0, 2, 76
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Finish\Finish.screen.js", "JavaScript", 75, 0, 0, 0, 3, 78
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Finish\Finish.scss", "SCSS", 0, 39, 0, 0, 7, 46
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Layout\Layout.css", "CSS", 0, 0, 22, 0, 4, 26
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Layout\Layout.screen.js", "JavaScript", 26, 0, 0, 60, 1, 87
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Layout\RoleEnsurer.route.js", "JavaScript", 24, 0, 0, 0, 8, 32
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Login\ConfirmForgotPassword.screen.js", "JavaScript", 22, 0, 0, 0, 4, 26
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Login\ForgotPassword.screen.js", "JavaScript", 145, 0, 0, 38, 6, 189
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Login\Login.api.js", "JavaScript", 30, 0, 0, 0, 5, 35
